smiles,O14757,O15379,O60674,O96017,P00533,P04626,P04629,P07949,P08069,P09874,P11309,P11362,P11802,P12931,P14902,P15056,P21802,P23458,P25025,P27361,P28907,P35354,P42345,P43405,P51679,P52333,P54760,P56524,P61073,Q00987,Q02750,Q04609,Q05397,Q06187,Q12884,Q13547,Q16832,Q86V86,Q8WUI4,Q92769,Q99835,Q9BY41,Q9UKV0,Q9UM73,Q9UQL6
O=C(C=Cc1ccc(CN(CCO)CCc2c[nH]c3ccccc23)cc1)NO,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,0,1,,1,1,,1
O=C(C=Cc1ccc2cccnc2c1)NCCCCCC(=O)NO,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,0,1,,1
O=C(C=Cc1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,1,1,,1
O=C(CCCCCC(c1c[nH]c2ccc([N+](=O)[O-])cc12)c1c[nH]c2ccc([N+](=O)[O-])cc12)NO,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,1,1,,1
O=C(CCCCCC(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12)NO,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,1,,,1,0,,1,1,,1
O=C(CCCCCC1OCCCCCCCOc2ccccc2NC1=O)NO,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,1,,,1,0,,1,0,,1
O=C(CCCCCC1OCCCCCCOc2ccccc2NC1=O)NO,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,1,,,1,0,,0,1,,1
O=C(CCCCCCC(=O)Nc1ccc2c(c1)C(=Cc1ccc[nH]1)C(=O)N2)NO,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1
O=C(CCCCCCc1nc2ccc(Br)cc2[nH]1)NO,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,1,1,,1
O=C(CCCCCN1C(=O)c2cccc3cccc(c23)C1=O)NO,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,1,,,0,1,,1,0,,1
O=C(CCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2)NO,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,0,,0,,,1
O=C(CS)NCCCCCC(=O)Nc1cccc2cccnc12,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,1
O=C(NCC1(c2nc(-c3ccccc3)cs2)CCOCC1)c1cccc(-c2noc(C(F)(F)F)n2)c1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,0,1,,1
O=C(NO)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,,,,1
O=C(NO)C(c1ccc(F)cc1)c1ccc(F)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,1
O=C(NO)C(c1ccc2c(c1)CCO2)c1ccc2c(c1)CCO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1
O=C(NO)C(c1cccc(F)c1)c1cccc(F)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1
O=C(NO)C(c1ccccc1)c1ccccc1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,0,1,,1
O=C(NO)C1C(c2ccccc2)C1c1cc(Cl)c2c(c1)OCCO2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0,,,1,0,,1,1,,1
O=C(NO)C1C(c2ccccc2)C1c1ccc(-c2cnco2)cc1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0,,,1,0,,1,1,,1
O=C(NO)C1C(c2ccccc2)C1c1ccc(-c2ncc(F)cn2)cc1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0,,,1,,,0,1,,1
O=C(NO)C1C(c2ccccc2)C1c1ccc2c(c1)CN(CC(F)(F)F)C2=O,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0,,,1,0,,0,1,,1
O=C(NO)C1C(c2ccccc2)C1c1ccc2nccnc2c1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0,,,1,0,,1,1,,1
O=C(NO)C1C(c2ccccc2)C1c1cccc(-c2ncc(F)cn2)c1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,0,1,,1
O=C(NO)C1C(c2ccccc2)C1c1ccccc1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,0,0,,1
O=C(NO)C1C(c2ccccc2)C1c1ccnc(C2CC2)c1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,0,1,,1
O=C(C=Cc1ccc(C(=O)NN=Cc2ccc(O)c(O)c2O)cc1)NO,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,0,1,,1,0,,1
CC=C1NC(=O)C(CS)NC(=O)C(C(C)C)CC(=O)CC(C=CCCS)OC(=O)C(C(C)C)NC1=O,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,0,1,,1,0,,1
CCCCc1nc2cc(C=CC(=O)NO)ccc2n1CCN(CC)CC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,1,1,,1
CCN(CC)Cc1ccc2cc(COC(=O)Nc3ccc(C(=O)NO)cc3)ccc2c1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,1,,,1,1,,1,1,,1
CN1c2ccccc2C(C(=O)NO)c2ccccc21,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,1,,,,,,1
COc1cc2cc(c1)COc1ccccc1NC(=O)C(CCCCCC(=O)NO)OCC=C2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,1,1,,1
COc1cc2cc(c1)COc1ccccc1NC(=O)C(CCCCCC(=O)NO)OCCC2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,1,1,,1
COc1ccc(COC(CCCCCC(=O)NO)C(=O)Nc2ccccc2)cc1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,1,1,,1
COc1cccc2c(C(CCCCCC(=O)NO)c3c[nH]c4c(OC)cccc34)c[nH]c12,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,1,1,,1
Cc1[nH]c2ccccc2c1CCNCc1ccc(C=CC(=O)NO)cc1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,0,1,,1,0,,1
Cc1cc(C)cc(C(=O)NOCCCCCC(=O)NO)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,0,,,1
Cc1ccc(C(=O)NOCCCCCC(=O)NO)cc1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,1,,,1
Cc1cccc(C(=O)NOCCCCCC(=O)NO)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,0,,0,,,1
Cn1cc(C2C(C(=O)NO)C2c2ccccc2)cn1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,1,0,,0,1,,1
Cn1cc(CNCC2CCN(c3ncc(C(=O)NO)cn3)CC2)c2ccccc21,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,1,1,,1
O=C(NO)C1c2ccccc2-c2ccccc21,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,0,1,,1
O=C(NO)C1c2ccccc2Oc2ccccc21,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1
O=C(NO)c1cnc(N2CC3C(C2)C3NCc2ccc(Cl)cc2)nc1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1
O=C(NO)c1cnc(N2CC3C(C2)C3NCc2ccc3cc(F)ccc3n2)nc1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1
O=C(NO)c1cnc(N2CCN(C(C=Cc3ccc(F)cc3)CO)CC2)nc1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,1,1,,1
O=C(NO)c1cnc(N2CCN(S(=O)(=O)c3ccc4ccccc4c3)CC2)nc1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,1,,1,1,,1
O=C(c1ccc(-c2nc(COc3ccc(-c4nnco4)cc3)no2)s1)C(F)(F)F,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,1,,1
[N-]=[N+]=NCc1cc(Cn2cc(NC(=O)CCCCCCC(=O)NO)cn2)cc(N=[N+]=[N-])c1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,0,1,,1,1,,1
