AssayId,BlockId,Size,RowSid,RowName,RowTarget,ColSid,ColName,ColTarget,RowIC50,ColIC50,RowConcs,ColConcs,RowConcUnit,ColConcUnit
9191,1,10,NCGC00386226-04,"Pralatrexate","Dihydrofolate Reductase (DHFR) Inhibitors",NCGC00182868-16,"Daporinad","NAMPT Inhibitor",0.005316,0.00963,"0.25,0.125,0.0625,0.03125,0.015625,0.007812400000000001,0.0039062000000000003,0.0019532,9.766E-4,0.0","0.7000000000000001,0.35000000000000003,0.17500000000000002,0.08750000000000001,0.043750000000000004,0.021875000000000002,0.0109376,0.0054688,0.0027344,0.0",uM,uM
9191,2,10,NCGC00345809-03,"RGB-286147","CDK1/2/3/7/9 Inhibitor",NCGC00182868-16,"Daporinad","NAMPT Inhibitor",0.020572,0.009882,"1.6,0.8,0.4,0.2,0.1,0.05,0.025,0.0125,0.00625,0.0","0.7000000000000001,0.35000000000000003,0.17500000000000002,0.08750000000000001,0.043750000000000004,0.021875000000000002,0.0109376,0.0054688,0.0027344,0.0",uM,uM
9191,3,10,NCGC00345782-02,"GMX-1778","IKK beta Inhibitor",NCGC00182868-16,"Daporinad","NAMPT Inhibitor",0.008732,0.011068,"1.0,0.5,0.25,0.125,0.0625,0.03125,0.015625,0.007812400000000001,0.0039062000000000003,0.0","0.7000000000000001,0.35000000000000003,0.17500000000000002,0.08750000000000001,0.043750000000000004,0.021875000000000002,0.0109376,0.0054688,0.0027344,0.0",uM,uM
9191,4,10,NCGC00346644-04,"KX-01","Src Kinase Inhibitor",NCGC00182868-16,"Daporinad","NAMPT Inhibitor",0.038799,0.010712,"1.4000000000000001,0.7000000000000001,0.35000000000000003,0.17500000000000002,0.08750000000000001,0.043750000000000004,0.021875000000000002,0.0109376,0.0054688,0.0","0.7000000000000001,0.35000000000000003,0.17500000000000002,0.08750000000000001,0.043750000000000004,0.021875000000000002,0.0109376,0.0054688,0.0027344,0.0",uM,uM
9191,5,10,NCGC00242506-13,"Bortezomib","Proteasome Inhibitor",NCGC00182868-16,"Daporinad","NAMPT Inhibitor",0.008387,0.013025,"0.9,0.45,0.225,0.1125,0.05625,0.028125,0.014062400000000001,0.0070312000000000005,0.0035156000000000002,0.0","0.7000000000000001,0.35000000000000003,0.17500000000000002,0.08750000000000001,0.043750000000000004,0.021875000000000002,0.0109376,0.0054688,0.0027344,0.0",uM,uM
9191,6,10,NCGC00242514-13,"Sepantronium bromide","Survivin Inhibitor",NCGC00182868-16,"Daporinad","NAMPT Inhibitor",6.56E-4,0.01215,"0.06,0.03,0.015,0.0075,0.00375,0.001875,9.376000000000001E-4,4.6880000000000007E-4,2.3440000000000003E-4,0.0","0.7000000000000001,0.35000000000000003,0.17500000000000002,0.08750000000000001,0.043750000000000004,0.021875000000000002,0.0109376,0.0054688,0.0027344,0.0",uM,uM
9191,7,10,NCGC00263017-01,"CPG-52364","TLR 7, 8 and 9 Antagonist",NCGC00182868-16,"Daporinad","NAMPT Inhibitor",55.722115,0.009819,"20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0","0.7000000000000001,0.35000000000000003,0.17500000000000002,0.08750000000000001,0.043750000000000004,0.021875000000000002,0.0109376,0.0054688,0.0027344,0.0",uM,uM
9191,8,10,NCGC00346962-02,"HMSL10077","BTK Inhibitor",NCGC00182868-16,"Daporinad","NAMPT Inhibitor",8.258068,0.011908,"20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0","0.7000000000000001,0.35000000000000003,0.17500000000000002,0.08750000000000001,0.043750000000000004,0.021875000000000002,0.0109376,0.0054688,0.0027344,0.0",uM,uM
9191,9,10,NCGC00346656-03,"Dinaciclib (SCH727965)","CDK1/2/5/9 Inhibitor",NCGC00182868-16,"Daporinad","NAMPT Inhibitor",0.103259,0.01493,"2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0390624,0.0195312,0.0097656,0.0","0.7000000000000001,0.35000000000000003,0.17500000000000002,0.08750000000000001,0.043750000000000004,0.021875000000000002,0.0109376,0.0054688,0.0027344,0.0",uM,uM
9191,10,10,NCGC00263183-11,"MK-1775","Wee1 Kinase Inhibitor",NCGC00182868-16,"Daporinad","NAMPT Inhibitor",1.591819,0.010885,"20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0","0.7000000000000001,0.35000000000000003,0.17500000000000002,0.08750000000000001,0.043750000000000004,0.021875000000000002,0.0109376,0.0054688,0.0027344,0.0",uM,uM
